Altium Designer Pick and Place Locations
C:\Users\Ryan\Google Drive (rvtran@ucsd.edu)\Triton AI\fuse-board\Fuse Board V2.1\Project Outputs for Fuse_Board_V2-1\Pick Place for Fuse_Board_Panel_V2-1.csv

========================================================================================================================
File Design Information:

Date:       13/02/22
Time:       14:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"U3","TopLayer","44.3700","114.2520","90"
"U2","TopLayer","31.6700","114.2520","90"
"U1","TopLayer","21.5100","114.2520","90"
"D2","TopLayer","31.6700","119.3320","90"
"D1","TopLayer","21.5100","119.3320","90"
"XF1","TopLayer","26.5900","110.4420","90"
"J4","TopLayer","64.6900","78.4380","90"
"D4","TopLayer","57.0700","119.3320","90"
"J8","TopLayer","115.4900","78.4380","90"
"J6","TopLayer","90.0900","78.4380","90"
"J1","TopLayer","25.3200","81.2320","90"
"J2","TopLayer","39.2900","78.4380","90"
"XF9","TopLayer","128.1900","110.4420","270"
"XF8","TopLayer","115.4900","110.4420","270"
"XF7","TopLayer","102.7900","110.4420","270"
"XF6","TopLayer","90.0900","110.4420","270"
"XF5","TopLayer","77.3900","110.4420","270"
"XF4","TopLayer","64.6900","110.4420","270"
"XF3","TopLayer","51.9900","110.4420","270"
"XF2","TopLayer","39.2900","110.4420","270"
"J9","TopLayer","128.1900","78.4380","90"
"J7","TopLayer","102.7900","78.4380","90"
"J5","TopLayer","77.3900","78.4380","90"
"J3","TopLayer","51.9900","78.4380","90"
"D10","TopLayer","133.2700","119.3320","90"
"D9","TopLayer","120.5700","119.3320","90"
"D8","TopLayer","107.8700","119.3320","90"
"D7","TopLayer","95.1700","119.3320","90"
"D6","TopLayer","82.4700","119.3320","90"
"D5","TopLayer","69.7700","119.3320","90"
"D3","TopLayer","44.3700","119.3320","90"
"C8","TopLayer","128.1900","152.3520","270"
"C7","TopLayer","115.4900","152.3520","270"
"C6","TopLayer","102.7900","152.3520","270"
"C5","TopLayer","90.0900","152.3520","270"
"C4","TopLayer","77.3900","152.3520","270"
"C3","TopLayer","64.6900","152.3520","270"
"C2","TopLayer","51.9900","152.3520","270"
"C1","TopLayer","39.2900","152.3520","270"
"U10","TopLayer","133.2700","172.6720","90"
"U9","TopLayer","120.5700","172.6720","90"
"U8","TopLayer","107.8700","172.6720","90"
"U7","TopLayer","95.1700","172.6720","90"
"U6","TopLayer","82.4700","172.6720","90"
"U5","TopLayer","69.7700","172.6720","90"
"U4","TopLayer","57.0700","172.6720","90"
"U3","TopLayer","44.3700","172.6720","90"
"U2","TopLayer","31.6700","172.6720","90"
"U1","TopLayer","21.5100","172.6720","90"
"D2","TopLayer","31.6700","177.7520","90"
"D1","TopLayer","21.5100","177.7520","90"
"XF1","TopLayer","26.5900","168.8620","90"
"J4","TopLayer","64.6900","136.8580","90"
"D4","TopLayer","57.0700","177.7520","90"
"J8","TopLayer","115.4900","136.8580","90"
"J6","TopLayer","90.0900","136.8580","90"
"J1","TopLayer","25.3200","139.6520","90"
"J2","TopLayer","39.2900","136.8580","90"
"XF9","TopLayer","128.1900","168.8620","270"
"XF8","TopLayer","115.4900","168.8620","270"
"XF7","TopLayer","102.7900","168.8620","270"
"XF6","TopLayer","90.0900","168.8620","270"
"XF5","TopLayer","77.3900","168.8620","270"
"XF4","TopLayer","64.6900","168.8620","270"
"XF3","TopLayer","51.9900","168.8620","270"
"XF2","TopLayer","39.2900","168.8620","270"
"J9","TopLayer","128.1900","136.8580","90"
"J7","TopLayer","102.7900","136.8580","90"
"J5","TopLayer","77.3900","136.8580","90"
"J3","TopLayer","51.9900","136.8580","90"
"D10","TopLayer","133.2700","177.7520","90"
"D9","TopLayer","120.5700","177.7520","90"
"D8","TopLayer","107.8700","177.7520","90"
"D7","TopLayer","95.1700","177.7520","90"
"D6","TopLayer","82.4700","177.7520","90"
"D5","TopLayer","69.7700","177.7520","90"
"D3","TopLayer","44.3700","177.7520","90"
"C8","TopLayer","128.1900","210.7720","270"
"C7","TopLayer","115.4900","210.7720","270"
"C6","TopLayer","102.7900","210.7720","270"
"C5","TopLayer","90.0900","210.7720","270"
"C4","TopLayer","77.3900","210.7720","270"
"C3","TopLayer","64.6900","210.7720","270"
"C2","TopLayer","51.9900","210.7720","270"
"C1","TopLayer","39.2900","210.7720","270"
"U10","TopLayer","133.2700","231.0920","90"
"U9","TopLayer","120.5700","231.0920","90"
"U8","TopLayer","107.8700","231.0920","90"
"U7","TopLayer","95.1700","231.0920","90"
"U6","TopLayer","82.4700","231.0920","90"
"U5","TopLayer","69.7700","231.0920","90"
"U4","TopLayer","57.0700","231.0920","90"
"U3","TopLayer","44.3700","231.0920","90"
"U2","TopLayer","31.6700","231.0920","90"
"U1","TopLayer","21.5100","231.0920","90"
"D2","TopLayer","31.6700","236.1720","90"
"D1","TopLayer","21.5100","236.1720","90"
"XF1","TopLayer","26.5900","227.2820","90"
"J4","TopLayer","64.6900","195.2780","90"
"D4","TopLayer","57.0700","236.1720","90"
"J8","TopLayer","115.4900","195.2780","90"
"J6","TopLayer","90.0900","195.2780","90"
"J1","TopLayer","25.3200","198.0720","90"
"J2","TopLayer","39.2900","195.2780","90"
"XF9","TopLayer","128.1900","227.2820","270"
"XF8","TopLayer","115.4900","227.2820","270"
"XF7","TopLayer","102.7900","227.2820","270"
"XF6","TopLayer","90.0900","227.2820","270"
"XF5","TopLayer","77.3900","227.2820","270"
"XF4","TopLayer","64.6900","227.2820","270"
"XF3","TopLayer","51.9900","227.2820","270"
"XF2","TopLayer","39.2900","227.2820","270"
"J9","TopLayer","128.1900","195.2780","90"
"J7","TopLayer","102.7900","195.2780","90"
"J5","TopLayer","77.3900","195.2780","90"
"J3","TopLayer","51.9900","195.2780","90"
"D10","TopLayer","133.2700","236.1720","90"
"D9","TopLayer","120.5700","236.1720","90"
"D8","TopLayer","107.8700","236.1720","90"
"D7","TopLayer","95.1700","236.1720","90"
"D6","TopLayer","82.4700","236.1720","90"
"D5","TopLayer","69.7700","236.1720","90"
"D3","TopLayer","44.3700","236.1720","90"
"C8","TopLayer","172.7200","26.6700","180"
"C7","TopLayer","172.7200","39.3700","180"
"C6","TopLayer","172.7200","52.0700","180"
"C5","TopLayer","172.7200","64.7700","180"
"C4","TopLayer","172.7200","77.4700","180"
"C3","TopLayer","172.7200","90.1700","180"
"C2","TopLayer","172.7200","102.8700","180"
"C1","TopLayer","172.7200","115.5700","180"
"U10","TopLayer","193.0400","21.5900","360"
"U9","TopLayer","193.0400","34.2900","360"
"U8","TopLayer","193.0400","46.9900","360"
"U7","TopLayer","193.0400","59.6900","360"
"U6","TopLayer","193.0400","72.3900","360"
"U5","TopLayer","193.0400","85.0900","360"
"U4","TopLayer","193.0400","97.7900","360"
"U3","TopLayer","193.0400","110.4900","360"
"U2","TopLayer","193.0400","123.1900","360"
"U1","TopLayer","193.0400","133.3500","360"
"D2","TopLayer","198.1200","123.1900","360"
"D1","TopLayer","198.1200","133.3500","360"
"XF1","TopLayer","189.2300","128.2700","360"
"J4","TopLayer","157.2260","90.1700","360"
"D4","TopLayer","198.1200","97.7900","360"
"J8","TopLayer","157.2260","39.3700","360"
"J6","TopLayer","157.2260","64.7700","360"
"J1","TopLayer","160.0200","129.5400","360"
"J2","TopLayer","157.2260","115.5700","360"
"XF9","TopLayer","189.2300","26.6700","180"
"XF8","TopLayer","189.2300","39.3700","180"
"XF7","TopLayer","189.2300","52.0700","180"
"XF6","TopLayer","189.2300","64.7700","180"
"XF5","TopLayer","189.2300","77.4700","180"
"XF4","TopLayer","189.2300","90.1700","180"
"XF3","TopLayer","189.2300","102.8700","180"
"XF2","TopLayer","189.2300","115.5700","180"
"J9","TopLayer","157.2260","26.6700","360"
"J7","TopLayer","157.2260","52.0700","360"
"J5","TopLayer","157.2260","77.4700","360"
"J3","TopLayer","157.2260","102.8700","360"
"D10","TopLayer","198.1200","21.5900","360"
"D9","TopLayer","198.1200","34.2900","360"
"D8","TopLayer","198.1200","46.9900","360"
"D7","TopLayer","198.1200","59.6900","360"
"D6","TopLayer","198.1200","72.3900","360"
"D5","TopLayer","198.1200","85.0900","360"
"D3","TopLayer","198.1200","110.4900","360"
