Altium Designer Pick and Place Locations
C:\Users\Ryan\Google Drive (rvtran@ucsd.edu)\ECE 191\XT60-30 Fuse Board\Project Outputs for XT60-30 Fuse Board\Pick Place for panel_qty6.csv

========================================================================================================================
File Design Information:

Date:       19/11/21
Time:       13:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"XF6","TopLayer","227.0760","64.7700","180"
"XF5","TopLayer","227.0760","77.4700","180"
"XF4","TopLayer","227.0760","90.1700","180"
"XF3","TopLayer","227.0760","102.8700","180"
"XF2","TopLayer","227.0760","115.5700","180"
"R20","TopLayer","230.8860","20.3200","180"
"R19","TopLayer","230.8860","33.0200","180"
"R18","TopLayer","225.8060","20.3200","180"
"R17","TopLayer","225.8060","33.0200","180"
"R16","TopLayer","230.8860","45.7200","180"
"R15","TopLayer","230.8860","58.4200","180"
"R14","TopLayer","230.8860","71.1200","180"
"R13","TopLayer","225.8060","45.7200","180"
"R12","TopLayer","225.8060","58.4200","180"
"R11","TopLayer","225.8060","71.1200","180"
"R8","TopLayer","230.8860","109.2200","180"
"R7","TopLayer","230.8860","121.9200","180"
"R10","TopLayer","230.8860","83.8200","180"
"R9","TopLayer","230.8860","96.5200","180"
"R5","TopLayer","225.8060","83.8200","180"
"R3","TopLayer","225.8060","109.2200","180"
"J9","TopLayer","206.7560","26.6700","360"
"J7","TopLayer","206.7560","52.0700","360"
"J5","TopLayer","206.7560","77.4700","360"
"J3","TopLayer","206.7560","102.8700","360"
"D10","TopLayer","235.9660","21.5900","360"
"D9","TopLayer","235.9660","34.2900","360"
"D8","TopLayer","235.9660","46.9900","360"
"D7","TopLayer","235.9660","59.6900","360"
"D6","TopLayer","235.9660","72.3900","360"
"D5","TopLayer","235.9660","85.0900","360"
"D3","TopLayer","235.9660","110.4900","360"
"R6","TopLayer","20.3200","45.7200","270"
"R2","TopLayer","33.0200","40.6400","270"
"R1","TopLayer","20.3200","40.6400","270"
"D2","TopLayer","31.7500","50.8000","90"
"D1","TopLayer","21.5900","50.8000","90"
"XF1","TopLayer","26.6700","41.9100","90"
"R4","TopLayer","58.4200","40.6400","270"
"J4","TopLayer","64.7700","21.5900","90"
"D4","TopLayer","57.1500","50.8000","90"
"J8","TopLayer","115.5700","21.5900","90"
"J6","TopLayer","90.1700","21.5900","90"
"J1","TopLayer","26.6700","21.5900","90"
"J2","TopLayer","39.3700","21.5900","90"
"XF9","TopLayer","128.2700","41.9100","270"
"XF8","TopLayer","115.5700","41.9100","270"
"XF7","TopLayer","102.8700","41.9100","270"
"XF6","TopLayer","90.1700","41.9100","270"
"XF5","TopLayer","77.4700","41.9100","270"
"XF4","TopLayer","64.7700","41.9100","270"
"XF3","TopLayer","52.0700","41.9100","270"
"XF2","TopLayer","39.3700","41.9100","270"
"R20","TopLayer","134.6200","45.7200","270"
"R19","TopLayer","121.9200","45.7200","270"
"R18","TopLayer","134.6200","40.6400","270"
"R17","TopLayer","121.9200","40.6400","270"
"R16","TopLayer","109.2200","45.7200","270"
"R15","TopLayer","96.5200","45.7200","270"
"R14","TopLayer","83.8200","45.7200","270"
"R13","TopLayer","109.2200","40.6400","270"
"R12","TopLayer","96.5200","40.6400","270"
"R11","TopLayer","83.8200","40.6400","270"
"R8","TopLayer","45.7200","45.7200","270"
"R7","TopLayer","33.0200","45.7200","270"
"R10","TopLayer","71.1200","45.7200","270"
"R9","TopLayer","58.4200","45.7200","270"
"R5","TopLayer","71.1200","40.6400","270"
"R3","TopLayer","45.7200","40.6400","270"
"J9","TopLayer","128.2700","21.5900","90"
"J7","TopLayer","102.8700","21.5900","90"
"J5","TopLayer","77.4700","21.5900","90"
"J3","TopLayer","52.0700","21.5900","90"
"D10","TopLayer","133.3500","50.8000","90"
"D9","TopLayer","120.6500","50.8000","90"
"D8","TopLayer","107.9500","50.8000","90"
"D7","TopLayer","95.2500","50.8000","90"
"D6","TopLayer","82.5500","50.8000","90"
"D5","TopLayer","69.8500","50.8000","90"
"D3","TopLayer","44.4500","50.8000","90"
"R6","TopLayer","20.3200","93.9800","270"
"R2","TopLayer","33.0200","88.9000","270"
"R1","TopLayer","20.3200","88.9000","270"
"D2","TopLayer","31.7500","99.0600","90"
"D1","TopLayer","21.5900","99.0600","90"
"XF1","TopLayer","26.6700","90.1700","90"
"R4","TopLayer","58.4200","88.9000","270"
"J4","TopLayer","64.7700","69.8500","90"
"D4","TopLayer","57.1500","99.0600","90"
"J8","TopLayer","115.5700","69.8500","90"
"J6","TopLayer","90.1700","69.8500","90"
"J1","TopLayer","26.6700","69.8500","90"
"J2","TopLayer","39.3700","69.8500","90"
"XF9","TopLayer","128.2700","90.1700","270"
"XF8","TopLayer","115.5700","90.1700","270"
"XF7","TopLayer","102.8700","90.1700","270"
"XF6","TopLayer","90.1700","90.1700","270"
"XF5","TopLayer","77.4700","90.1700","270"
"XF4","TopLayer","64.7700","90.1700","270"
"XF3","TopLayer","52.0700","90.1700","270"
"XF2","TopLayer","39.3700","90.1700","270"
"R20","TopLayer","134.6200","93.9800","270"
"R19","TopLayer","121.9200","93.9800","270"
"R18","TopLayer","134.6200","88.9000","270"
"R17","TopLayer","121.9200","88.9000","270"
"R16","TopLayer","109.2200","93.9800","270"
"R15","TopLayer","96.5200","93.9800","270"
"R14","TopLayer","83.8200","93.9800","270"
"R13","TopLayer","109.2200","88.9000","270"
"R12","TopLayer","96.5200","88.9000","270"
"R11","TopLayer","83.8200","88.9000","270"
"R8","TopLayer","45.7200","93.9800","270"
"R7","TopLayer","33.0200","93.9800","270"
"R10","TopLayer","71.1200","93.9800","270"
"R9","TopLayer","58.4200","93.9800","270"
"R5","TopLayer","71.1200","88.9000","270"
"R3","TopLayer","45.7200","88.9000","270"
"J9","TopLayer","128.2700","69.8500","90"
"J7","TopLayer","102.8700","69.8500","90"
"J5","TopLayer","77.4700","69.8500","90"
"J3","TopLayer","52.0700","69.8500","90"
"D10","TopLayer","133.3500","99.0600","90"
"D9","TopLayer","120.6500","99.0600","90"
"D8","TopLayer","107.9500","99.0600","90"
"D7","TopLayer","95.2500","99.0600","90"
"D6","TopLayer","82.5500","99.0600","90"
"D5","TopLayer","69.8500","99.0600","90"
"D3","TopLayer","44.4500","99.0600","90"
"R6","TopLayer","20.3200","142.2400","270"
"R2","TopLayer","33.0200","137.1600","270"
"R1","TopLayer","20.3200","137.1600","270"
"D2","TopLayer","31.7500","147.3200","90"
"D1","TopLayer","21.5900","147.3200","90"
"XF1","TopLayer","26.6700","138.4300","90"
"R4","TopLayer","58.4200","137.1600","270"
"J4","TopLayer","64.7700","118.1100","90"
"D4","TopLayer","57.1500","147.3200","90"
"J8","TopLayer","115.5700","118.1100","90"
"J6","TopLayer","90.1700","118.1100","90"
"J1","TopLayer","26.6700","118.1100","90"
"J2","TopLayer","39.3700","118.1100","90"
"XF9","TopLayer","128.2700","138.4300","270"
"XF8","TopLayer","115.5700","138.4300","270"
"XF7","TopLayer","102.8700","138.4300","270"
"XF6","TopLayer","90.1700","138.4300","270"
"XF5","TopLayer","77.4700","138.4300","270"
"XF4","TopLayer","64.7700","138.4300","270"
"XF3","TopLayer","52.0700","138.4300","270"
"XF2","TopLayer","39.3700","138.4300","270"
"R20","TopLayer","134.6200","142.2400","270"
"R19","TopLayer","121.9200","142.2400","270"
"R18","TopLayer","134.6200","137.1600","270"
"R17","TopLayer","121.9200","137.1600","270"
"R16","TopLayer","109.2200","142.2400","270"
"R15","TopLayer","96.5200","142.2400","270"
"R14","TopLayer","83.8200","142.2400","270"
"R13","TopLayer","109.2200","137.1600","270"
"R12","TopLayer","96.5200","137.1600","270"
"R11","TopLayer","83.8200","137.1600","270"
"R8","TopLayer","45.7200","142.2400","270"
"R7","TopLayer","33.0200","142.2400","270"
"R10","TopLayer","71.1200","142.2400","270"
"R9","TopLayer","58.4200","142.2400","270"
"R5","TopLayer","71.1200","137.1600","270"
"R3","TopLayer","45.7200","137.1600","270"
"J9","TopLayer","128.2700","118.1100","90"
"J7","TopLayer","102.8700","118.1100","90"
"J5","TopLayer","77.4700","118.1100","90"
"J3","TopLayer","52.0700","118.1100","90"
"D10","TopLayer","133.3500","147.3200","90"
"D9","TopLayer","120.6500","147.3200","90"
"D8","TopLayer","107.9500","147.3200","90"
"D7","TopLayer","95.2500","147.3200","90"
"D6","TopLayer","82.5500","147.3200","90"
"D5","TopLayer","69.8500","147.3200","90"
"D3","TopLayer","44.4500","147.3200","90"
"R6","TopLayer","20.3200","190.5000","270"
"R2","TopLayer","33.0200","185.4200","270"
"R1","TopLayer","20.3200","185.4200","270"
"D2","TopLayer","31.7500","195.5800","90"
"D1","TopLayer","21.5900","195.5800","90"
"XF1","TopLayer","26.6700","186.6900","90"
"R4","TopLayer","58.4200","185.4200","270"
"J4","TopLayer","64.7700","166.3700","90"
"D4","TopLayer","57.1500","195.5800","90"
"J8","TopLayer","115.5700","166.3700","90"
"J6","TopLayer","90.1700","166.3700","90"
"J1","TopLayer","26.6700","166.3700","90"
"J2","TopLayer","39.3700","166.3700","90"
"XF9","TopLayer","128.2700","186.6900","270"
"XF8","TopLayer","115.5700","186.6900","270"
"XF7","TopLayer","102.8700","186.6900","270"
"XF6","TopLayer","90.1700","186.6900","270"
"XF5","TopLayer","77.4700","186.6900","270"
"XF4","TopLayer","64.7700","186.6900","270"
"XF3","TopLayer","52.0700","186.6900","270"
"XF2","TopLayer","39.3700","186.6900","270"
"R20","TopLayer","134.6200","190.5000","270"
"R19","TopLayer","121.9200","190.5000","270"
"R18","TopLayer","134.6200","185.4200","270"
"R17","TopLayer","121.9200","185.4200","270"
"R16","TopLayer","109.2200","190.5000","270"
"R15","TopLayer","96.5200","190.5000","270"
"R14","TopLayer","83.8200","190.5000","270"
"R13","TopLayer","109.2200","185.4200","270"
"R12","TopLayer","96.5200","185.4200","270"
"R11","TopLayer","83.8200","185.4200","270"
"R8","TopLayer","45.7200","190.5000","270"
"R7","TopLayer","33.0200","190.5000","270"
"R10","TopLayer","71.1200","190.5000","270"
"R9","TopLayer","58.4200","190.5000","270"
"R5","TopLayer","71.1200","185.4200","270"
"R3","TopLayer","45.7200","185.4200","270"
"J9","TopLayer","128.2700","166.3700","90"
"J7","TopLayer","102.8700","166.3700","90"
"J5","TopLayer","77.4700","166.3700","90"
"J3","TopLayer","52.0700","166.3700","90"
"D10","TopLayer","133.3500","195.5800","90"
"D9","TopLayer","120.6500","195.5800","90"
"D8","TopLayer","107.9500","195.5800","90"
"D7","TopLayer","95.2500","195.5800","90"
"D6","TopLayer","82.5500","195.5800","90"
"D5","TopLayer","69.8500","195.5800","90"
"D3","TopLayer","44.4500","195.5800","90"
